artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Polo G;Pop Out (feat. Lil Tjay);166560;2019;168.112;hip hop;0.639;1;-7.119
Emma Bunton;What Took You So Long?;241000;2001;118.011;pop;0.772;9;-5.4
P!nk;F**kin' Perfect;213413;2010;91.964;pop;0.671;7;-4.788
Young Thug;The London (feat. J. Cole & Travis Scott);200106;2019;97.981;hip hop, pop;0.586;4;-6.946
Justin Bieber;Beauty And A Beat;227986;2012;128.003;pop;0.843;0;-4.831
Lady A;Need You Now;236440;2010;107.884;pop, country;0.717;4;-4.433
Echosmith;Cool Kids;237626;2013;130.027;pop;0.671;8;-6.279
Charlene Soraia;Wherever You Will Go;197577;2011;111.202;pop;0.115;9;-9.217
JAY-Z;Excuse Me Miss;281240;2002;92.849;hip hop;0.862;6;-5.531
Mario;Let Me Love You;256733;2004;94.514;pop, R&B;0.578;7;-8.97
One Direction;Steal My Girl;228133;2014;77.217;pop;0.768;10;-5.948
Macklemore;Glorious (feat. Skylar Grey);220454;2017;139.994;hip hop, pop;0.794;0;-5.126
Carly Rae Jepsen;Call Me Maybe;193400;2012;120.021;pop, Dance/Electronic;0.58;7;-6.548
O-Zone;Dragostea Din Tei;215431;2004;130.103;pop;0.965;0;-3.947
Kesha;Blow;219973;2010;120.013;pop, Dance/Electronic;0.729;11;-3.862
Chingy;Pullin' Me Back;234133;2006;80.0;hip hop, pop, R&B;0.511;7;-6.66
Las Ketchup;The Ketchup Song (Aserejé) - Spanglish Version;213973;2002;184.819;set();0.923;1;-6.777
Bryson Tiller;Don't;198293;2015;96.991;hip hop, pop, R&B;0.356;11;-5.556
5 Seconds of Summer;She Looks So Perfect;202496;2014;160.025;pop;0.951;9;-4.237
Rihanna;Te Amo;208426;2009;171.917;hip hop, pop, R&B;0.707;8;-5.455
Audioslave;Like a Stone;293960;2002;107.849;rock, metal;0.568;7;-5.477
No Doubt;It's My Life;226053;2003;126.326;rock, pop;0.735;8;-5.074
DEV;In The Dark;226226;2012;124.954;pop, Dance/Electronic;0.824;8;-4.231
Case;Missing You;284666;2001;86.31;hip hop, pop, R&B;0.579;1;-6.417
Flume;Say It;262521;2016;75.255;Dance/Electronic;0.531;3;-6.829
Ashanti;Rain On Me;297960;2003;83.701;hip hop, pop, R&B;0.699;8;-3.103
